row,col,p,fdr
12,5823,0,0
723,5831,0,0
101,234,0,0
146,2556,0,0
89,200,0,0
100,151,0,0
152,1792,0,0
6186,45746,0,0
85,1686,0,0
182,14667,0,0
85,239,0,0
1756,6668,0,0
4365,6668,0,0
27,85,0,0
153,195,0,0
85,234,0,0
3963,6904,0,0
27,101,0,0
451,918,0,0
1406,1792,0,0
5221,9795,0,0
146,12129,0,0
920,14635,0,0
200,236,0,0
19,26,0,0
5097,34841,0,0
104,465,0,0
547,1803,0,0
920,12749,0,0
197,1260,0,0
12893,20664,0,0
145,791,0,0
920,4841,0,0
85,238,0,0
1406,12129,0,0
303,4843,0,0
100,195,0,0
157,466,0,0
82,362,0,0
35,1069,0,0
1756,6556,0,0
303,3078,0,0
569,4982,0,0
7401,16319,0,0
12749,14635,0,0
146,2226,0,0
1978,4801,0,0
19,321,0,0
30,202,0,0
101,157,0,0
4841,14635,0,0
589,14749,0,0
3768,4370,0,0
4841,12749,0,0
3078,14749,0,0
82,97,0,0
89,236,0,0
381,697,0,0
196,365,0,0
898,7401,0,0
5009,7401,0,0
33,1069,0,0
7401,11194,0,0
683,3768,0,0
471,1069,0,0
5152,11569,0,0
146,6904,0,0
145,504,0,0
7401,12893,0,0
898,16319,0,0
151,153,0,0
874,1260,0,0
5009,16319,0,0
4147,4367,0,0
88,158,0,0
1792,12129,0,0
235,365,0,0
7713,9853,0,0
652,1805,0,0
19,159,0,0
12893,16319,0,0
11194,16319,0,0
2752,4147,0,0
277,906,0,0
152,466,0,0
6904,14749,0,0
98,362,0,0
154,1260,0,0
7344,9666,0,0
898,5009,0,0
200,321,0,0
194,471,0,0
170,610,0,0
4940,14166,0,0
146,3078,0,0
898,11194,0,0
7401,20664,0,0
5009,11194,0,0
4852,7493,0,0
6437,7493,0,0
7493,11603,0,0
19,200,0,0
16319,20664,0,0
145,11431,0,0
898,12893,0,0
5009,12893,0,0
394,2226,0,0
450,1069,0,0
4843,14749,0,0
11194,12893,0,0
88,1260,0,0
1406,2556,0,0
194,450,0,0
24,151,0,0
100,1260,0,0
4949,20680,0,0
10807,27302,0,0
